"","p_val","gene","diffexpressed","celltype"
"188",1.38885939589565e-06,"Nufip2","DOWN","inhibitory"
"189",1.58517453774742e-06,"Tfdp2","DOWN","inhibitory"
"190",1.72610636544489e-06,"A330102I10Rik","UP","inhibitory"
"191",1.72699594099208e-06,"Prickle2","DOWN","inhibitory"
"192",1.93044171652249e-06,"Negr1","DOWN","inhibitory"
"193",2.30003575274925e-06,"Igf1","UP","inhibitory"
"194",2.42485494452421e-06,"Pdgfc","DOWN","inhibitory"
"195",2.47802795391849e-06,"Swt1","DOWN","inhibitory"
"196",2.76870707440454e-06,"Cdc37l1","DOWN","inhibitory"
"197",2.86530165835985e-06,"Sgcz","DOWN","inhibitory"
"198",2.89945974678714e-06,"Grip1os2","UP","inhibitory"
"199",2.99502172159955e-06,"Gm48383","UP","inhibitory"
"200",3.5723840309355e-06,"B230216N24Rik","UP","inhibitory"
"201",3.69043124873913e-06,"Cmss1","UP","inhibitory"
"202",3.7712902792249e-06,"Kctd16","UP","inhibitory"
"203",4.07496379988028e-06,"5330438D12Rik","UP","inhibitory"
"204",4.24419358214712e-06,"Ppp1r2","DOWN","inhibitory"
"205",4.40739450060621e-06,"Gm28750","UP","inhibitory"
"206",4.43228589187495e-06,"Capn5","DOWN","inhibitory"
"207",4.94275371210899e-06,"Col26a1","UP","inhibitory"
"208",5.24940908066125e-06,"Psmd14","DOWN","inhibitory"
"209",5.44556447087676e-06,"Fbn1","UP","inhibitory"
"210",5.48321229644888e-06,"Cntn5","DOWN","inhibitory"
"211",5.70651770829359e-06,"Ahcyl2","DOWN","inhibitory"
"212",5.80415669624802e-06,"Kcnip4","DOWN","inhibitory"
"213",6.0479321699223e-06,"Gm26936","UP","inhibitory"
"214",6.50211749234388e-06,"Kat2b","DOWN","inhibitory"
"215",6.7374244858634e-06,"Sema3a","UP","inhibitory"
"216",7.18340253860227e-06,"Zfp532","UP","inhibitory"
"217",7.55034996346463e-06,"Rhobtb2","DOWN","inhibitory"
"218",7.55320920849399e-06,"Nrg3os","UP","inhibitory"
"219",7.82291247800762e-06,"Kirrel3","DOWN","inhibitory"
"220",8.01937016197766e-06,"Rnf144a","DOWN","inhibitory"
"221",8.10553243415081e-06,"Ssbp2","DOWN","inhibitory"
"222",8.12248214028055e-06,"Pard3b","DOWN","inhibitory"
"223",8.38252002358207e-06,"P2ry12","UP","inhibitory"
"224",8.96776090585451e-06,"Nfyc","DOWN","inhibitory"
"225",9.07149989403031e-06,"Tafa1","UP","inhibitory"
"226",9.43334713971307e-06,"Trank1","UP","inhibitory"
"227",9.90353921715425e-06,"Atad2b","DOWN","inhibitory"
"228",1.02209390856624e-05,"Fam110b","DOWN","inhibitory"
"229",1.03566784218005e-05,"Lhfpl3","DOWN","inhibitory"
"230",1.07181999833115e-05,"Cnnm2","DOWN","inhibitory"
"231",1.13477134857245e-05,"Rsf1","DOWN","inhibitory"
"232",1.22449101757798e-05,"Robo1","UP","inhibitory"
"233",1.24791887161649e-05,"Bach2","UP","inhibitory"
"234",1.33535921945786e-05,"Slc44a1","DOWN","inhibitory"
"235",1.53361436630251e-05,"Mapk10","DOWN","inhibitory"
"236",1.69765741906777e-05,"Abca2","DOWN","inhibitory"
"237",1.78737135697128e-05,"Celf3","UP","inhibitory"
"238",1.89754313280153e-05,"Epha4","DOWN","inhibitory"
"239",2.0986950672337e-05,"Slc2a13","UP","inhibitory"
"240",2.13458991836032e-05,"Syt11","DOWN","inhibitory"
"241",2.17377828327651e-05,"Syn2","DOWN","inhibitory"
"242",2.27353052329443e-05,"Ccp110","DOWN","inhibitory"
"243",2.44364483071384e-05,"Mtmr2","DOWN","inhibitory"
"244",2.84226251575424e-05,"Spock1","DOWN","inhibitory"
"245",2.84404711212577e-05,"Tmod2","DOWN","inhibitory"
"246",2.92705856562051e-05,"4930587E11Rik","UP","inhibitory"
"247",3.09045581418156e-05,"Gm38604","UP","inhibitory"
"248",3.33015556261756e-05,"Rcan2","DOWN","inhibitory"
"249",3.39140492383303e-05,"Rhou","DOWN","inhibitory"
"250",3.72399776485364e-05,"Rab31","DOWN","inhibitory"
"251",4.11321548251626e-05,"Nell1","DOWN","inhibitory"
"252",4.13884090640315e-05,"Mbp","DOWN","inhibitory"
"253",4.1606312340464e-05,"4632427E13Rik","UP","inhibitory"
"254",4.4510651540692e-05,"Wsb1","UP","inhibitory"
"255",4.47975218661225e-05,"Etnk1","UP","inhibitory"
"256",4.77506116157406e-05,"Fnbp1l","UP","inhibitory"
"257",5.08591818516827e-05,"Gm48321","UP","inhibitory"
"258",5.12574899514435e-05,"Atg4c","DOWN","inhibitory"
"259",5.91879296325619e-05,"Mllt3","DOWN","inhibitory"
"260",6.0110491752882e-05,"Ncam1","DOWN","inhibitory"
"261",6.65063760269672e-05,"Jam3","DOWN","inhibitory"
"262",6.71524992231377e-05,"Svil","UP","inhibitory"
"263",6.71595799291778e-05,"Gm6994","UP","inhibitory"
"264",7.15600353580482e-05,"Diaph2","DOWN","inhibitory"
"265",7.35998280377394e-05,"Ptpn5","UP","inhibitory"
"266",7.67615454291984e-05,"Unc5c","DOWN","inhibitory"
"267",8.20988181305414e-05,"Slc24a5","UP","inhibitory"
"268",8.30121539527848e-05,"Gng12","DOWN","inhibitory"
"269",9.03722581044899e-05,"Edil3","DOWN","inhibitory"
"270",9.73654560713363e-05,"Caln1","UP","inhibitory"
"271",0.000100474927961328,"Gm26854","UP","inhibitory"
"272",0.000101760196798975,"Tenm4","DOWN","inhibitory"
"273",0.000105124924560319,"Nebl","UP","inhibitory"
"274",0.000110487391832828,"Tenm3","DOWN","inhibitory"
"275",0.000110933764144218,"Maml3","UP","inhibitory"
"276",0.000116920063164208,"Tmem126a","UP","inhibitory"
"277",0.00012842574410502,"Galntl6","DOWN","inhibitory"
"278",0.000128691508637357,"Gm27032","UP","inhibitory"
"279",0.000132082003382608,"Fnip2","DOWN","inhibitory"
"280",0.000137699971038749,"Mitf","DOWN","inhibitory"
"281",0.000139931819515376,"Cetn3","UP","inhibitory"
"282",0.000149965216299948,"Ryr2","DOWN","inhibitory"
"283",0.00015452162469856,"Kcnmb2","UP","inhibitory"
"284",0.000154942617429558,"Slc24a2","DOWN","inhibitory"
"285",0.000157414920631485,"Zbtb20","UP","inhibitory"
"286",0.000162302964501835,"Tsc22d3","DOWN","inhibitory"
"287",0.000167515890825215,"Kcnd2","UP","inhibitory"
"288",0.00017623670434856,"Agbl4","DOWN","inhibitory"
"289",0.000179660747325401,"Kif13a","DOWN","inhibitory"
"290",0.00018641181470405,"Ptprk","DOWN","inhibitory"
"291",0.000191222567937765,"Grm3","DOWN","inhibitory"
"292",0.000197877760516775,"Cdk19","DOWN","inhibitory"
"293",0.000218862605510127,"Rnpc3","UP","inhibitory"
"294",0.000235865605211582,"Pcdh15","UP","inhibitory"
"295",0.000242998327529337,"Upp2","DOWN","inhibitory"
"296",0.000258142736485085,"Kctd13","DOWN","inhibitory"
"297",0.000258220187038384,"Rbp4","UP","inhibitory"
"298",0.000282554608499546,"Gm19522","UP","inhibitory"
"299",0.0002836722520001,"Rmdn1","UP","inhibitory"
"300",0.000296226704596605,"Tmem200a","UP","inhibitory"
"301",0.000339068919518004,"Gm35188","UP","inhibitory"
"302",0.000368994376064331,"Fxr1","DOWN","inhibitory"
"303",0.000388544984093206,"Cntn3","UP","inhibitory"
"304",0.000403080223772156,"Alk","UP","inhibitory"
"305",0.000421520371765397,"St6galnac5","DOWN","inhibitory"
"306",0.000444154002638993,"Plekha1","DOWN","inhibitory"
"307",0.000444285677939379,"Unc5d","DOWN","inhibitory"
"308",0.00046600668187227,"4933413L06Rik","UP","inhibitory"
"309",0.000493050197129833,"Slc24a3","UP","inhibitory"
"310",0.000505262776195372,"Syt16","UP","inhibitory"
"311",0.000531996508362042,"Cacnb2","UP","inhibitory"
"312",0.000550494770336618,"Kcna1","DOWN","inhibitory"
"313",0.000578853787497614,"Tmeff1","DOWN","inhibitory"
